品种,单位,菜篮子价,康瑞达价,日期,上传时间
皇上皇腊肉,元/公斤,,156,2024-12-25,2024-12-26 23:08:37
皇上皇腊肠,元/公斤,,154,2024-12-25,2024-12-26 23:08:37
腊鸭（板鸭）,元/只,,23,2024-12-25,2024-12-26 23:08:37
小鱼干（山坑鱼仔）,元/公斤,,92,2024-12-25,2024-12-26 23:08:37
金装春卷皮,包,,17,2024-12-25,2024-12-26 23:08:37
乌冬面,箱,,76,2024-12-25,2024-12-26 23:08:37
意粉,元/公斤,,11.6,2024-12-25,2024-12-26 23:08:37
马蹄糕,元/公斤,,13,2024-12-25,2024-12-26 23:08:37
红豆糕,元/公斤,,15.6,2024-12-25,2024-12-26 23:08:37
杂粮糕,元/公斤,,18,2024-12-25,2024-12-26 23:08:37
伦教糕,元/公斤,,14,2024-12-25,2024-12-26 23:08:37
白糖糕,元/公斤,,14,2024-12-25,2024-12-26 23:08:37
松糕,元/公斤,,14,2024-12-25,2024-12-26 23:08:37
马拉糕,包,0.4kg/包,14,2024-12-25,2024-12-26 23:08:37
水晶饼,包,12个/包,5.6,2024-12-25,2024-12-26 23:08:37
马拉糕,盘,3.5kg/盘,43,2024-12-25,2024-12-26 23:08:37
绿茶饼（960g）,盒,,21,2024-12-25,2024-12-26 23:08:37
甜梅菜,元/公斤,,11,2024-12-25,2024-12-26 23:08:37
宏盛萝卜脯,元/箱,,120,2024-12-25,2024-12-26 23:08:37
顶级甜梅菜,元/箱,,35,2024-12-25,2024-12-26 23:08:37
黄豆,元/公斤,,11,2024-12-25,2024-12-26 23:08:37
眉豆,元/公斤,,15,2024-12-25,2024-12-26 23:08:37
燕麦,元/公斤,,13,2024-12-25,2024-12-26 23:08:37
银耳,元/公斤,,70,2024-12-25,2024-12-26 23:08:37
薏米,元/公斤,,29,2024-12-25,2024-12-26 23:08:37
西米,元/公斤,,10,2024-12-25,2024-12-26 23:08:37
紫菜,元/公斤,,140,2024-12-25,2024-12-26 23:08:37
红薯粉条,元/公斤,,13,2024-12-25,2024-12-26 23:08:37
干香菇,元/公斤,,108,2024-12-25,2024-12-26 23:08:37
干白菊花,元/公斤,,150,2024-12-25,2024-12-26 23:08:37
桂圆肉,元/公斤,,75,2024-12-25,2024-12-26 23:08:37
干玉竹,元/公斤,,56,2024-12-25,2024-12-26 23:08:37
干淮山,元/公斤,,43,2024-12-25,2024-12-26 23:08:37
杞子,元/公斤,,56,2024-12-25,2024-12-26 23:08:37
椰枣,元/公斤,,70,2024-12-25,2024-12-26 23:08:37
糯米,元/公斤,,9,2024-12-25,2024-12-26 23:08:37
裕丰蛋黄面,箱,,67,2024-12-25,2024-12-26 23:08:37
大碗面（添添）,箱,,42,2024-12-25,2024-12-26 23:08:37
金斯奇米粉8kg,包,,69,2024-12-25,2024-12-26 23:08:37
刘家河100/120鸡全翅6%,1*10kg/箱,,29,2024-12-25,2024-12-26 23:08:37
刘家河120/130鸡全翅6%,1*10kg/箱,,29,2024-12-25,2024-12-26 23:08:37
刘家河130/150鸡全翅6%,1*10kg/箱,,29,2024-12-25,2024-12-26 23:08:37
宏丰18只西装鸡6%,1*9.8kg/箱,,17.4,2024-12-25,2024-12-26 23:08:37
中德6只直脚三黄鸡6%,1*9kg/箱,,14.5,2024-12-25,2024-12-26 23:08:37
中德7只直脚三黄鸡6%,1*9.5kg/箱,,15.1,2024-12-25,2024-12-26 23:08:37
